city,minutes,reachable_population,reachable_stations,notes
Hong Kong,0,0.0,0,static_overpass_graph_with_station_kernel_population
Hong Kong,5,0.0,1,static_overpass_graph_with_station_kernel_population
Hong Kong,10,91539.180065961,9,static_overpass_graph_with_station_kernel_population
Hong Kong,15,435932.43143346347,30,static_overpass_graph_with_station_kernel_population
Hong Kong,20,1021746.3410115805,56,static_overpass_graph_with_station_kernel_population
Hong Kong,25,2060913.794953718,105,static_overpass_graph_with_station_kernel_population
Hong Kong,30,3474461.487626386,160,static_overpass_graph_with_station_kernel_population
Hong Kong,35,4303373.6390316505,207,static_overpass_graph_with_station_kernel_population
Hong Kong,40,4626999.811379878,220,static_overpass_graph_with_station_kernel_population
Hong Kong,45,5387767.809765479,251,static_overpass_graph_with_station_kernel_population
Hong Kong,50,5842515.750587104,263,static_overpass_graph_with_station_kernel_population
Hong Kong,55,5918849.049335822,284,static_overpass_graph_with_station_kernel_population
Hong Kong,60,5967600.986054388,305,static_overpass_graph_with_station_kernel_population
Hong Kong,65,6099341.680039067,336,static_overpass_graph_with_station_kernel_population
Hong Kong,70,6293720.523217028,371,static_overpass_graph_with_station_kernel_population
Hong Kong,75,6765996.446127307,447,static_overpass_graph_with_station_kernel_population
Hong Kong,80,7131970.959433912,499,static_overpass_graph_with_station_kernel_population
Hong Kong,85,7311110.153325184,522,static_overpass_graph_with_station_kernel_population
Hong Kong,90,7500000.0,529,static_overpass_graph_with_station_kernel_population
Hong Kong,95,7500000.0,529,static_overpass_graph_with_station_kernel_population
Hong Kong,100,7500000.0,529,static_overpass_graph_with_station_kernel_population
Hong Kong,105,7500000.0,529,static_overpass_graph_with_station_kernel_population
Hong Kong,110,7500000.0,529,static_overpass_graph_with_station_kernel_population
Hong Kong,115,7500000.0,529,static_overpass_graph_with_station_kernel_population
Hong Kong,120,7500000.0,529,static_overpass_graph_with_station_kernel_population
