city,minutes,reachable_population,reachable_stations,notes
New York,0,0.0,0,static_overpass_graph_with_station_kernel_population
New York,5,0.0,1,static_overpass_graph_with_station_kernel_population
New York,10,0.0,18,static_overpass_graph_with_station_kernel_population
New York,15,670499.7256811217,183,static_overpass_graph_with_station_kernel_population
New York,20,1657249.9453102606,370,static_overpass_graph_with_station_kernel_population
New York,25,3507737.171596111,515,static_overpass_graph_with_station_kernel_population
New York,30,5221023.155689865,685,static_overpass_graph_with_station_kernel_population
New York,35,7407619.190414928,881,static_overpass_graph_with_station_kernel_population
New York,40,9695049.475423018,1094,static_overpass_graph_with_station_kernel_population
New York,45,12302407.514192771,1308,static_overpass_graph_with_station_kernel_population
New York,50,14496960.881215287,1512,static_overpass_graph_with_station_kernel_population
New York,55,16036716.767629847,1670,static_overpass_graph_with_station_kernel_population
New York,60,17266796.918894246,1785,static_overpass_graph_with_station_kernel_population
New York,65,17902549.27366952,1876,static_overpass_graph_with_station_kernel_population
New York,70,18664791.72672008,1942,static_overpass_graph_with_station_kernel_population
New York,75,18994205.500480153,1975,static_overpass_graph_with_station_kernel_population
New York,80,19159885.49713435,1990,static_overpass_graph_with_station_kernel_population
New York,85,19276796.83551901,1994,static_overpass_graph_with_station_kernel_population
New York,90,19285502.49603018,1998,static_overpass_graph_with_station_kernel_population
New York,95,19320075.948655672,2011,static_overpass_graph_with_station_kernel_population
New York,100,19438842.580223702,2021,static_overpass_graph_with_station_kernel_population
New York,105,19460496.41861233,2026,static_overpass_graph_with_station_kernel_population
New York,110,19500000.0,2028,static_overpass_graph_with_station_kernel_population
New York,115,19500000.0,2028,static_overpass_graph_with_station_kernel_population
New York,120,19500000.0,2028,static_overpass_graph_with_station_kernel_population
