city,minutes,reachable_population,reachable_stations,notes
Paris,0,0.0,0,static_overpass_graph_with_station_kernel_population
Paris,5,0.0,1,static_overpass_graph_with_station_kernel_population
Paris,10,220233.29138121207,16,static_overpass_graph_with_station_kernel_population
Paris,15,1145342.6039668408,93,static_overpass_graph_with_station_kernel_population
Paris,20,3349463.5077776657,258,static_overpass_graph_with_station_kernel_population
Paris,25,7014393.267509881,427,static_overpass_graph_with_station_kernel_population
Paris,30,10413257.704859175,527,static_overpass_graph_with_station_kernel_population
Paris,35,12113553.857188292,583,static_overpass_graph_with_station_kernel_population
Paris,40,12300000.0,609,static_overpass_graph_with_station_kernel_population
Paris,45,12299999.999999998,619,static_overpass_graph_with_station_kernel_population
Paris,50,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,55,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,60,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,65,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,70,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,75,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,80,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,85,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,90,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,95,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,100,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,105,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,110,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,115,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
Paris,120,12299999.999999998,628,static_overpass_graph_with_station_kernel_population
