city,minutes,reachable_population,reachable_stations,notes
Seoul,0,0.0,0,static_overpass_graph_with_station_kernel_population
Seoul,5,0.0,1,static_overpass_graph_with_station_kernel_population
Seoul,10,73511.77119492745,4,static_overpass_graph_with_station_kernel_population
Seoul,15,217882.59852461398,21,static_overpass_graph_with_station_kernel_population
Seoul,20,1903954.3182534063,77,static_overpass_graph_with_station_kernel_population
Seoul,25,4380330.596607764,134,static_overpass_graph_with_station_kernel_population
Seoul,30,7684452.645260525,211,static_overpass_graph_with_station_kernel_population
Seoul,35,10951346.12308527,292,static_overpass_graph_with_station_kernel_population
Seoul,40,15126303.688577842,390,static_overpass_graph_with_station_kernel_population
Seoul,45,19525766.18821378,485,static_overpass_graph_with_station_kernel_population
Seoul,50,21897438.969280317,562,static_overpass_graph_with_station_kernel_population
Seoul,55,23894715.672281273,647,static_overpass_graph_with_station_kernel_population
Seoul,60,24657164.816720374,698,static_overpass_graph_with_station_kernel_population
Seoul,65,25542512.622848153,752,static_overpass_graph_with_station_kernel_population
Seoul,70,25765576.842100095,785,static_overpass_graph_with_station_kernel_population
Seoul,75,25802204.33204626,822,static_overpass_graph_with_station_kernel_population
Seoul,80,25961525.399249993,854,static_overpass_graph_with_station_kernel_population
Seoul,85,26000000.0,872,static_overpass_graph_with_station_kernel_population
Seoul,90,26000000.0,887,static_overpass_graph_with_station_kernel_population
Seoul,95,26000000.000000004,895,static_overpass_graph_with_station_kernel_population
Seoul,100,26000000.0,909,static_overpass_graph_with_station_kernel_population
Seoul,105,26000000.000000007,924,static_overpass_graph_with_station_kernel_population
Seoul,110,26000000.000000004,931,static_overpass_graph_with_station_kernel_population
Seoul,115,26000000.000000004,936,static_overpass_graph_with_station_kernel_population
Seoul,120,26000000.000000004,936,static_overpass_graph_with_station_kernel_population
