case,minutes,reachable_population,reachable_nodes,share_of_population,method_tag
rotating_habitats_in_vacuum,0,10000.0,1,1e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,5,10000.0,1,1e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,10,10000.0,1,1e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,15,70000.0,7,7e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,20,430000.0,43,0.00043,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,25,1090000.0,109,0.00109,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,30,5230000.0,523,0.00523,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,35,8370000.0,837,0.00837,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,40,31470000.0,3147,0.03147,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,45,56500000.0,5650,0.0565,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,50,103820000.0,10382,0.10382,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,55,210660000.0,21066,0.21066,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,60,276180000.0,27618,0.27618,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,65,458300000.0,45830,0.4583,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,70,569460000.0,56946,0.56946,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,75,702180000.0,70218,0.70218,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,80,848460000.0,84846,0.84846,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,85,887340000.0,88734,0.88734,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,90,971910000.0,97191,0.97191,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,95,985030000.0,98503,0.98503,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,100,998600000.0,99860,0.9986,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,105,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,110,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,115,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,120,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,125,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,130,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,135,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,140,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,145,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,150,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,155,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,160,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,165,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,170,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,175,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,180,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,185,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,190,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,195,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,200,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,205,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,210,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,215,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,220,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,225,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,230,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,235,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,240,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
