city,minutes,reachable_population,reachable_stations,notes
Tokyo,0,0.0,0,static_overpass_graph_with_station_kernel_population
Tokyo,5,0.0,1,static_overpass_graph_with_station_kernel_population
Tokyo,10,0.0,7,static_overpass_graph_with_station_kernel_population
Tokyo,15,2562843.2725382955,95,static_overpass_graph_with_station_kernel_population
Tokyo,20,9545459.543141725,213,static_overpass_graph_with_station_kernel_population
Tokyo,25,23678208.048316803,338,static_overpass_graph_with_station_kernel_population
Tokyo,30,34038866.98238537,457,static_overpass_graph_with_station_kernel_population
Tokyo,35,36383753.557786316,511,static_overpass_graph_with_station_kernel_population
Tokyo,40,36773607.13539495,567,static_overpass_graph_with_station_kernel_population
Tokyo,45,36773607.135394946,599,static_overpass_graph_with_station_kernel_population
Tokyo,50,36773607.13539495,636,static_overpass_graph_with_station_kernel_population
Tokyo,55,36773607.135394946,665,static_overpass_graph_with_station_kernel_population
Tokyo,60,36773607.135394946,679,static_overpass_graph_with_station_kernel_population
Tokyo,65,36773607.13539495,695,static_overpass_graph_with_station_kernel_population
Tokyo,70,36773607.13539495,709,static_overpass_graph_with_station_kernel_population
Tokyo,75,36773607.13539495,723,static_overpass_graph_with_station_kernel_population
Tokyo,80,36773607.13539495,734,static_overpass_graph_with_station_kernel_population
Tokyo,85,36773607.135394946,742,static_overpass_graph_with_station_kernel_population
Tokyo,90,36773607.135394946,749,static_overpass_graph_with_station_kernel_population
Tokyo,95,36773607.13539495,759,static_overpass_graph_with_station_kernel_population
Tokyo,100,36773607.13539495,768,static_overpass_graph_with_station_kernel_population
Tokyo,105,36773607.13539495,769,static_overpass_graph_with_station_kernel_population
Tokyo,110,36773607.13539495,771,static_overpass_graph_with_station_kernel_population
Tokyo,115,36773607.13539495,773,static_overpass_graph_with_station_kernel_population
Tokyo,120,36773607.13539495,775,static_overpass_graph_with_station_kernel_population
