case,minutes,reachable_population,reachable_nodes,share_of_population,method_tag
gravity_wheels_in_atmosphere,0,1000.0,1,1e-06,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,5,1000.0,1,1e-06,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,10,49000.0,49,4.9e-05,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,15,430000.0,430,0.00043,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,20,1394000.0,1394,0.001394,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,25,6452000.0,6452,0.006452,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,30,18357000.0,18357,0.018357,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,35,49129000.0,49129,0.049129,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,40,98175000.0,98175,0.098175,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,45,195652000.0,195652,0.195652,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,50,308076000.0,308076,0.308076,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,55,464084000.0,464084,0.464084,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,60,605908000.0,605908,0.605908,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,65,762120000.0,762120,0.76212,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,70,853208000.0,853208,0.853208,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,75,938760000.0,938760,0.93876,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,80,974456000.0,974456,0.974456,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,85,993952000.0,993952,0.993952,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,90,999896000.0,999896,0.999896,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,95,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,100,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,105,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,110,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,115,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,120,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,125,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,130,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,135,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,140,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,145,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,150,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,155,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,160,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,165,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,170,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,175,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,180,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,185,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,190,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,195,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,200,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,205,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,210,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,215,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,220,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,225,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,230,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,235,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
gravity_wheels_in_atmosphere,240,1000000000.0,1000000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,0,10000.0,1,1e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,5,10000.0,1,1e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,10,10000.0,1,1e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,15,70000.0,7,7e-05,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,20,430000.0,43,0.00043,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,25,1090000.0,109,0.00109,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,30,5230000.0,523,0.00523,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,35,8370000.0,837,0.00837,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,40,31470000.0,3147,0.03147,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,45,56500000.0,5650,0.0565,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,50,103820000.0,10382,0.10382,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,55,210660000.0,21066,0.21066,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,60,276180000.0,27618,0.27618,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,65,458300000.0,45830,0.4583,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,70,569460000.0,56946,0.56946,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,75,702180000.0,70218,0.70218,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,80,848460000.0,84846,0.84846,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,85,887340000.0,88734,0.88734,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,90,971910000.0,97191,0.97191,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,95,985030000.0,98503,0.98503,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,100,998600000.0,99860,0.9986,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,105,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,110,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,115,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,120,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,125,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,130,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,135,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,140,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,145,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,150,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,155,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,160,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,165,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,170,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,175,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,180,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,185,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,190,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,195,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,200,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,205,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,210,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,215,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,220,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,225,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,230,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,235,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
rotating_habitats_in_vacuum,240,1000000000.0,100000,1.0,axis_aligned_tiered_bus_lattice
