station_id,station_name,latitude,longitude,best_anchor,travel_time_minutes,transfers_count,assigned_population
prince edward::22.3244::114.1682,太子 Prince Edward,22.3244406,114.1682327,太子 Prince Edward,4.0,0,0.0
prince edward::22.3245::114.1684,太子 Prince Edward,22.3244648,114.1683614,太子 Prince Edward,7.16886104176369,0,0.0
mong kok::22.3192::114.1693,旺角 Mong Kok,22.3192386,114.1693132,太子 Prince Edward,8.789441688888065,0,0.0
mong kok::22.3193::114.1695,旺角 Mong Kok,22.3192647,114.1694523,太子 Prince Edward,8.958294591412765,0,31408.051096498988
mong kok::22.3193::114.1694,旺角 Mong Kok,22.319263,114.1694488,太子 Prince Edward,8.958501257866688,0,0.0
shek kip mei::22.3311::114.1689,石硤尾 Shek Kip Mei,22.3310586,114.1689174,太子 Prince Edward,9.216668264283957,0,30766.097942163226
sham shui po::22.3306::114.1624,深水埗 Sham Shui Po,22.3305577,114.1623879,太子 Prince Edward,9.351984005111639,0,29365.031027298788
sham shui po::22.3306::114.1625,深水埗 Sham Shui Po,22.3306332,114.1624588,太子 Prince Edward,9.354679626759056,0,0.0
shek kip mei::22.333::114.1688,石硤尾 Shek Kip Mei,22.332964,114.1687987,太子 Prince Edward,9.588515796071322,0,0.0
yau ma tei::22.3131::114.1706,油麻地 Yau Ma Tei,22.3130573,114.1705757,太子 Prince Edward,10.77383730851714,0,31109.751078621208
yau ma tei::22.3131::114.1707,油麻地 Yau Ma Tei,22.3130841,114.1707361,太子 Prince Edward,10.774430343202871,0,0.0
cheung sha wan::22.3354::114.1561,長沙灣 Cheung Sha Wan,22.3354371,114.1560949,太子 Prince Edward,11.592428917133473,0,0.0
cheung sha wan::22.3355::114.1562,長沙灣 Cheung Sha Wan,22.3355274,114.156174,太子 Prince Edward,11.595852418857376,0,54011.7430939552
kowloon tong::22.3368::114.1773,九龍塘 Kowloon Tong,22.3367533,114.1772586,太子 Prince Edward,11.848378771781597,0,31043.47262846208
kowloon tong::22.3369::114.1773,九龍塘 Kowloon Tong,22.3368912,114.1772614,太子 Prince Edward,12.040084827596292,0,57228.09962712054
jordan::22.3051::114.1716,佐敦 Jordan,22.3050921,114.1716158,太子 Prince Edward,13.098183297752447,0,0.0
jordan::22.3051::114.1718,佐敦 Jordan,22.3051088,114.1717821,太子 Prince Edward,13.100872584772382,0,0.0
kowloon tong::22.337::114.1759,九龍塘 Kowloon Tong,22.3370045,114.1758821,太子 Prince Edward,13.652180803779226,0,0.0
kowloon tong::22.337::114.1758,九龍塘 Kowloon Tong,22.3369989,114.1758397,太子 Prince Edward,13.704243652411451,0,0.0
lai chi kok::22.3374::114.1484,荔枝角 Lai Chi Kok,22.3374427,114.1483992,太子 Prince Edward,13.793606089633755,0,49694.66080630946
2::22.3372::114.1758,2,22.3372005,114.175755,太子 Prince Edward,13.878946266394534,0,0.0
ho man tin::22.3093::114.1826,何文田 Ho Man Tin,22.3093306,114.1826415,太子 Prince Edward,13.976591839461467,0,0.0
1::22.3371::114.1756,1,22.3371494,114.1756268,太子 Prince Edward,14.017328152449004,0,29328.22762211394
lok fu::22.3375::114.1859,樂富 Lok Fu,22.3375039,114.1859052,太子 Prince Edward,14.174652324483572,0,0.0
ho man tin::22.3095::114.1828,何文田 Ho Man Tin,22.3094852,114.1828025,太子 Prince Edward,14.274981425039805,0,0.0
ho man tin::22.3096::114.1826,何文田 Ho Man Tin,22.3095638,114.1826418,太子 Prince Edward,14.300725280192943,0,31461.644382675848
2::22.3219::114.1726,2,22.3219201,114.1726166,太子 Prince Edward,14.451570140133681,0,0.0
