station_id,station_name,latitude,longitude,best_anchor,travel_time_minutes,transfers_count,assigned_population
34th street herald square::40.7505::-73.9871,34th Street–Herald Square,40.7504542,-73.9871487,34th Street–Herald Square,4.0,0,0.0
34th street herald square::40.7505::-73.9873,34th Street–Herald Square,40.7504922,-73.9872521,34th Street–Herald Square,7.121011117136879,0,0.0
34th street herald square::40.7503::-73.9877,34th Street–Herald Square,40.750308,-73.9876943,34th Street–Herald Square,7.609375950453777,0,0.0
34th street herald square::40.7503::-73.9878,34th Street–Herald Square,40.7503184,-73.9877941,34th Street–Herald Square,7.70530728404295,0,0.0
34th street herald square b d f m::40.7498::-73.9879,"34th Street - Herald Square (B,D,F,M)",40.7498003,-73.9878717,34th Street–Herald Square,8.185592843768214,0,0.0
34th street herald square b d f m::40.7496::-73.9879,"34th Street - Herald Square (B,D,F,M)",40.7495591,-73.9878604,34th Street–Herald Square,8.452398188119506,0,0.0
34th street herald square n q r w::40.7495::-73.9879,"34th Street–Herald Square (N,Q,R,W)",40.7494744,-73.9878919,34th Street–Herald Square,8.570691368497382,0,0.0
34th street herald square n q r w::40.7495::-73.988,"34th Street–Herald Square (N,Q,R,W)",40.7494911,-73.9880444,34th Street–Herald Square,8.637527810777975,0,0.0
28th street::40.7455::-73.9886,28th Street,40.7454979,-73.9885894,34th Street–Herald Square,9.312577709395716,0,0.0
6th avenue 23rd street::40.7428::-73.9927,6th Avenue / 23rd Street,40.7428479,-73.9926696,34th Street–Herald Square,9.45333473010457,0,0.0
34th street herald square::40.7489::-73.9884,34th Street–Herald Square,40.7489481,-73.9884224,34th Street–Herald Square,9.486160217690669,0,0.0
34th street herald square::40.749::-73.9885,34th Street–Herald Square,40.7489858,-73.9885344,34th Street–Herald Square,9.50890263221772,0,0.0
28th street::40.7455::-73.9888,28th Street,40.7455193,-73.9887955,34th Street–Herald Square,9.531637729019092,0,0.0
