habitat_radius_m,lattice_spacing_m,samples_surface,samples_direction,estimated_open_sky_fraction,threshold_met
500.0,1200.0,180,220,0.05103535353535354,False
500.0,1500.0,180,220,0.17702020202020202,False
500.0,1800.0,180,220,0.344469696969697,False
500.0,2200.0,180,220,0.512020202020202,False
500.0,2600.0,180,220,0.6408585858585859,False
500.0,3000.0,180,220,0.7252020202020202,True
500.0,3600.0,180,220,0.8076767676767677,True
500.0,4500.0,180,220,0.8764646464646465,True
500.0,5500.0,180,220,0.9181818181818182,True
500.0,7000.0,180,220,0.9481818181818182,True
500.0,9000.0,180,220,0.9699242424242425,True
500.0,12000.0,180,220,0.9826262626262626,True
